,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
146,Kalimantan Selatan,2013,67.17,8.38,4.76,30058.02,26423.9,115858.2,101850.54,3.66,1337500.0,5.328660909075111,8.557257628289715,3.429379550543943,6.599761393732972,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
147,Kalimantan Selatan,2014,67.63,8.36,4.81,32599.83,27220.27,127882.28,106779.4,3.8,1620000.0,4.839306693906575,10.378272750655547,3.0138246057546336,8.456345427942358,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
148,Kalimantan Selatan,2015,68.38,3.35,4.72,34351.69,27786.68,137056.12,110863.12,4.92,1870000.0,3.8244455391208465,7.173660025454653,2.080839021802494,5.373831704030363,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
149,Kalimantan Selatan,2016,69.05,3.02,4.52,36022.98,28540.05,146090.43,115743.57,5.45,2085050.0,4.402230426132703,6.591686675501984,2.7112630944035043,4.865233704659078,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
150,Kalimantan Selatan,2017,69.65,3.61,4.7,38619.54,29578.79,159104.55,121858.52,4.77,2258000.0,5.283187653534438,8.908263190135045,3.639587176616721,7.208065518177564,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
151,Kalimantan Selatan,2018,70.17,3.13,4.65,41046.28,30614.85,171684.06,128052.58,4.35,2454671.0,5.082992965941147,7.9064426504458885,3.5027125856061048,6.283710266875264,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
152,Kalimantan Selatan,2019,70.72,2.72,4.55,42823.56,31611.46,180557.64,133283.85,4.18,2651782.0,4.085251542764712,5.168552048454589,3.255315639305767,4.32994171457195,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
153,Kalimantan Selatan,2020,70.91,1.68,4.38,44100.79,32212.3,179162.02,130864.32,4.74,2877449.0,-1.815321211084464,-0.7729498458221018,1.9007030994455887,2.9825404520315457,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
154,Kalimantan Tengah,2010,74.64,6.96,6.77,25455.05,25455.05,56531.02,56531.02,4.14,986590.0,,,,,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
155,Kalimantan Tengah,2011,75.06,3.79,6.56,28952.94,26588.9,65871.41,60492.93,3.54,1134580.0,7.008382300549343,16.522592374947422,4.454322423251966,13.741438339347201,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
156,Kalimantan Tengah,2012,66.66,4.3,6.51,31515.97,27749.01,73425.38,64649.17,3.14,1327459.0,6.870621079190564,11.467752094573358,4.363136496808817,8.852399790832987,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
157,Kalimantan Tengah,2013,67.41,8.38,6.23,34367.34,29106.4,81956.92,69410.99,3.0,1553127.0,7.365632072306583,11.619333805286391,4.891670009128268,9.047381375220231,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
158,Kalimantan Tengah,2014,67.77,8.36,6.07,36842.26,30216.73,89889.88,73724.52,3.24,1723970.0,6.214476987001616,9.679426703687755,3.8147280323227895,7.201372000277018,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
159,Kalimantan Tengah,2015,68.53,3.35,5.91,40105.06,31619.18,100063.52,78890.97,4.54,1896367.0,7.0077770597896105,11.317892514708007,4.641303013264508,8.856134232807644,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
160,Kalimantan Tengah,2016,69.13,3.02,5.36,43905.33,32899.58,111967.02,83900.24,4.82,2057558.0,6.349611368702912,11.895943696563949,4.049440877340915,9.475786845849377,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
161,Kalimantan Tengah,2017,69.79,3.61,5.26,48293.22,34370.63,125817.07,89544.9,4.23,2227307.0,6.727823424581381,12.369758523536657,4.471333676600109,9.993980229735211,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
162,Kalimantan Tengah,2018,70.42,3.13,5.1,52107.23,35548.43,138616.13,94566.25,3.91,2421305.0,5.6076337122493936,10.172753188418703,3.426762907750036,7.897609643755388,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
163,Kalimantan Tengah,2019,70.91,2.72,4.98,56625.38,37870.47,150046.1,100349.29,4.04,2663435.0,6.115331844077554,8.245771974733396,6.532046562956517,8.670869666263181,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
